epoch,timestamp,elapsed_sec,lr,train_loss,train_speed,train_nll,train_zv,train_traj,train_bias,train_smooth,val_loss,val_mae_mps,val_mae_kmh,val_bias_mps,val_zv_mae_mps,val_false_motion_pct,val_trajectory_score,best_trajectory_score,is_best
1,2026-09-23 12:26:59,19.98,4.000000e-05,0.05880,0.14105,-0.60701,0.07795,0.82522,0.00088,0.24208,-0.21047,2.1134,7.61,-0.1407,2.2028,60.58,3.8358,3.8358,True
2,2026-09-23 12:27:16,17.25,6.000000e-05,-0.11018,0.12767,-1.27966,0.03526,2.05741,0.00229,0.23919,-0.23104,2.0806,7.49,-0.3074,1.6428,65.53,3.4664,3.4664,True
3,2026-09-23 12:27:34,17.31,8.000000e-05,-0.15232,0.11958,-1.41915,0.02255,2.92337,0.00327,0.24673,-0.23436,2.0636,7.43,-0.3485,1.6181,71.40,3.4514,3.4514,True
4,2026-09-23 12:27:52,17.65,1.000000e-04,-0.16993,0.11188,-1.45981,0.01912,2.66556,0.00295,0.25850,-0.23428,2.0590,7.41,-0.3931,1.5179,67.19,3.3939,3.3939,True
5,2026-09-23 12:28:09,17.13,1.000000e-04,-0.18391,0.10533,-1.49262,0.01759,2.18619,0.00243,0.26664,-0.23453,2.0745,7.47,-0.4037,1.5119,69.43,3.4102,3.3939,False
6,2026-09-23 12:28:26,17.67,9.944598e-05,-0.19412,0.10065,-1.51725,0.01652,1.89001,0.00211,0.26899,-0.23173,2.0829,7.50,-0.3961,1.3786,60.80,3.3149,3.3149,True
7,2026-09-23 12:28:44,17.67,9.779754e-05,-0.20401,0.09533,-1.53752,0.01563,1.55738,0.00175,0.27563,-0.23272,2.0906,7.53,-0.4934,1.2904,57.70,3.3052,3.3052,True
8,2026-09-23 12:29:02,17.45,9.509529e-05,-0.21276,0.09089,-1.55731,0.01502,1.38213,0.00152,0.28153,-0.23314,2.0979,7.55,-0.4458,1.5074,70.73,3.4513,3.3052,False
9,2026-09-23 12:29:19,17.30,9.140576e-05,-0.21927,0.08732,-1.57065,0.01456,1.13365,0.00127,0.28383,-0.22995,2.1033,7.57,-0.4596,1.3487,54.00,3.3446,3.3052,False
10,2026-09-23 12:29:36,17.21,8.681981e-05,-0.22594,0.08355,-1.58370,0.01408,0.99663,0.00109,0.28691,-0.22975,2.1141,7.61,-0.2724,1.5709,68.71,3.4285,3.3052,False
11,2026-09-23 12:29:54,17.53,8.145034e-05,-0.23256,0.08041,-1.59944,0.01348,0.84325,0.00091,0.28993,-0.23016,2.1163,7.62,-0.3989,1.4459,61.38,3.4002,3.3052,False
12,2026-09-23 12:30:11,17.40,7.542957e-05,-0.23757,0.07792,-1.61280,0.01383,0.71553,0.00077,0.29479,-0.23030,2.1194,7.63,-0.3306,1.5882,71.29,3.4759,3.3052,False
13,2026-09-23 12:30:29,17.96,6.890576e-05,-0.24194,0.07555,-1.62084,0.01307,0.65882,0.00072,0.29611,-0.22662,2.1512,7.74,-0.2218,1.8026,81.58,3.6141,3.3052,False
14,2026-09-23 12:30:47,17.68,6.203955e-05,-0.24607,0.07331,-1.63058,0.01322,0.57052,0.00063,0.29678,-0.22683,2.1470,7.73,-0.3019,1.6091,70.84,3.5048,3.3052,False
15,2026-09-23 12:31:05,18.29,5.500000e-05,-0.25023,0.07155,-1.64070,0.01250,0.53873,0.00058,0.29812,-0.22544,2.1493,7.74,-0.1536,1.7582,74.94,3.5447,3.3052,False
16,2026-09-23 12:31:22,17.09,4.796045e-05,-0.25282,0.07016,-1.64627,0.01235,0.48004,0.00052,0.30009,-0.22627,2.1520,7.75,-0.1882,1.7016,71.20,3.5223,3.3052,False
17,2026-09-23 12:31:39,17.09,4.109424e-05,-0.25568,0.06864,-1.65048,0.01135,0.46419,0.00049,0.30245,-0.22585,2.1488,7.74,-0.2812,1.6004,65.06,3.4896,3.3052,False
